ortho,Lexique3__phon,Lexique3__lemme,Lexique3__cgram,Lexique3__freqlemfilms2,Lexique3__freqfilms2,Lexique3__nblettres,Lexique3__puorth,Lexique3__puphon,Lexique3__nbsyll,Lexique3__cgramortho
abbés,abe,abbé,NOM,4.46,0.02,5,0,3,2,NOM
abord,abOR,abord,NOM,2.22,0.89,5,5,4,2,NOM
about,abu,about,NOM,5.94,5.94,5,5,3,2,NOM
abris,abRi,abri,NOM,25.9,3.2,5,0,4,2,NOM
abîme,abim,abîme,NOM,6.01,5.03,5,5,4,2,"NOM,VER"
accro,akRo,accro,NOM,2.56,1.66,5,5,4,2,"ADJ,NOM"
accès,aksE,accès,NOM,29.53,29.53,5,4,4,2,NOM
achat,aSa,achat,NOM,9.75,5.2,5,5,3,2,NOM
acide,asid,acide,NOM,9.46,8.44,5,5,4,2,"ADJ,NOM"
acier,asje,acier,NOM,13.88,13.85,5,4,4,2,NOM
actes,akt,acte,NOM,56.81,17.62,5,0,3,1,NOM
adieu,adj2,adieu,NOM,44.44,36.86,5,4,4,2,"NOM,ONO"
agent,aZ@,agent,NOM,117.9,92.42,5,5,3,2,NOM
aides,Ed,aide,NOM,175.59,4.18,5,0,2,1,"NOM,VER"
aigle,Egl,aigle,NOM,6.9,5.5,5,5,3,1,NOM
ailes,El,aile,NOM,33.45,18.45,5,0,2,1,NOM
aires,ER,aire,NOM,5.54,0.99,5,0,2,1,NOM
aises,Ez,aise,NOM,32.73,1.09,5,0,2,1,"ADJ,NOM"
album,albOm,album,NOM,11.29,9.36,5,5,5,2,NOM
algue,alg,algue,NOM,2.66,0.29,5,4,3,1,NOM
alibi,alibi,alibi,NOM,11.13,10.28,5,4,4,3,NOM
aller,ale,aller,NOM,17.78,17.21,5,5,3,2,"NOM,VER"
allez,ale,aller,NOM,17.78,0.0,5,0,3,2,"NOM,VER"
allié,alje,allié,NOM,11.64,2.4,5,5,4,2,"VER,ADJ,NOM"
allée,ale,allée,NOM,12.17,9.89,5,5,3,2,"VER,NOM"
alpha,alfa,alpha,NOM,2.09,2.09,5,5,4,2,NOM
amant,am@,amant,NOM,35.03,23.28,5,5,3,2,NOM
amaro,amaRo,amaro,NOM,2.02,2.02,5,5,5,3,NOM
amies,ami,ami,NOM,747.98,20.88,5,0,3,2,"ADJ,NOM"
amigo,amigo,amigo,NOM,6.91,4.75,5,5,4,3,NOM
amour,amuR,amour,NOM,458.27,450.46,5,5,4,2,NOM
ancre,@kR,ancre,NOM,4.75,4.63,5,5,3,1,"NOM,VER"
anges,@Z,ange,NOM,69.27,21.38,5,0,2,1,NOM
angle,@gl,angle,NOM,13.29,11.56,5,5,3,1,NOM
année,ane,année,NOM,316.25,129.64,5,5,3,2,NOM
antre,@tR,antre,NOM,2.96,2.96,5,4,3,1,NOM
appel,apEl,appel,NOM,100.18,80.88,5,5,4,2,NOM
appui,ap8i,appui,NOM,8.81,7.83,5,5,4,2,NOM
appât,apa,appât,NOM,6.74,5.97,5,5,3,2,NOM
arabe,aRab,arabe,NOM,13.62,6.71,5,5,4,2,"ADJ,NOM"
arbre,aRbR,arbre,NOM,81.69,49.29,5,5,4,1,NOM
arche,aRS,arche,NOM,3.19,2.83,5,5,3,1,NOM
armes,aRm,arme,NOM,220.22,105.82,5,0,3,1,"NOM,VER"
armée,aRme,armée,NOM,101.07,93.97,5,5,4,2,"VER,ADJ,NOM"
arrêt,aRE,arrêt,NOM,50.88,46.8,5,5,3,2,NOM
arène,aREn,arène,NOM,2.5,2.25,5,3,4,2,NOM
asile,azil,asile,NOM,26.56,25.52,5,5,4,2,NOM
astre,astR,astre,NOM,3.13,1.89,5,5,4,1,NOM
atome,atom,atome,NOM,2.85,1.3,5,5,4,2,NOM
atout,atu,atout,NOM,5.74,3.66,5,5,3,2,NOM
aubes,ob,aube,NOM,30.32,0.27,5,0,2,1,NOM
auras,oRa,aura,NOM,14.48,2.31,5,0,3,2,"NOM,AUX,VER"
autel,otEl,autel,NOM,8.27,7.62,5,5,4,2,NOM
autos,oto,auto,NOM,18.66,2.42,5,0,3,2,NOM
autre,otR,autre,NOM,7.48,6.25,5,5,3,1,"ADJ,ADV,NOM,PRO:ind"
avant,av@,avant,NOM,8.05,7.94,5,5,3,2,"ADJ,ADV,NOM,PRE"
aveux,av2,aveu,NOM,11.15,5.29,5,0,3,2,NOM
avion,avj§,avion,NOM,128.35,105.54,5,5,4,2,NOM
avoir,avwaR,avoir,NOM,3.13,2.72,5,5,5,2,"AUX,NOM,VER"
avril,avRil,avril,NOM,11.23,11.23,5,5,5,2,NOM
azurs,azyR,azur,NOM,2.98,0.0,5,0,4,2,NOM
aînée,ene,aîné,NOM,8.92,2.79,5,0,3,2,"ADJ,NOM"
aînés,ene,aîné,NOM,8.92,1.46,5,0,3,2,"ADJ,NOM"
aïeul,aj9l,aïeul,NOM,3.13,1.08,5,4,4,2,NOM
aïeux,aj2,aïeul,NOM,3.13,1.75,5,0,0,2,NOM
babys,babi,baby,NOM,13.2,0.01,5,0,4,2,NOM
bacon,bekon,bacon,NOM,4.5,4.5,5,4,5,2,NOM
badge,badZ,badge,NOM,7.14,6.03,5,5,4,1,NOM
baffe,baf,baffe,NOM,2.93,1.41,5,5,3,1,"NOM,VER"
bagne,baN,bagne,NOM,2.5,2.49,5,5,3,1,NOM
bague,bag,bague,NOM,30.32,26.14,5,5,3,1,"NOM,VER"
baies,bE,baie,NOM,7.09,1.24,5,0,2,1,"ADJ,NOM"
bains,b5,bain,NOM,74.48,23.96,5,0,2,1,NOM
baise,bEz,baise,NOM,7.66,7.07,5,5,3,1,"NOM,VER"
